ID,p0,p1
82965,durst,versed
82966,dye,vie
82967,dyed,vied
82968,dyes,vies
82969,den,even
82970,effected,effective
82971,elder,elver
82972,elders,elvers
82973,elected,elective
82974,ended,endive
82975,exhausted,exhaustive
82976,feeder,fever
82977,feeders,fevers
82978,fortified,forty
82979,grade,grave
82980,grades,graves
82981,greyed,grave
82982,had,have
82983,haddock,havoc
82984,t,haven
82985,hard,halve
82986,hardest,harvest
82987,heady,heavy
82988,headier,heavier
82989,headiest,heaviest
82990,heaves,heeds
82991,heed,heave
82992,heeding,heaving
82993,heeds,heaves
82994,held,helve
82995,hide,hive
82996,hides,hives
82997,hiding,hiving
82998,hied,hive
82999,hoed,hove
83000,indent,invent
83001,indented,invented
83002,indenting,inventing
83003,indents,invents
83004,indict,invite
83005,indicted,invited
83006,indicting,inviting
83007,indicts,invites
83008,inducted,inductive
83009,instructed,instructive
83010,interacted,interactive
83011,introspected,introspective
83012,intuited,intuitive
83013,invented,inventive
83014,neighed,knave
83015,lad,lav
83016,lads,lavs
83017,lade,lave
83018,lading,laving
83019,lead,leave
83020,leads,leaves
83021,leading,leaving
83022,leaded,levied
83023,leaden,leaven
83024,leader,lever
83025,leaders,levers
83026,eeds,leaves
83027,eiden,liven
83028,lid,live
83029,lids,lives
83030,lied,live
83031,loads,loaves
83032,lodes,loaves
83033,mode,mauve
83034,modes,mauves
83035,moated,motive
83036,mood,move
83037,moods,moves
83038,moody,movie
83039,noddle,novel
83040,noddles,novels
83041,objected,objective
83042,obstructed,obstructive
83043,odd,of
83044,odour,over
83045,odours,overs
83046,overacted,overactive
83047,paid,pave
83048,peed,peeve
83049,prevented,preventive
83050,prospected,prospective
83051,protected,protective
83052,prude,prove
83053,prudes,proves
83054,radish,ravish
83055,radishes,ravishes
83056,raid,rave
83057,raiding,raving
83058,raids,raves
83059,raider,raver
83060,raiders,ravers
83061,read,reeve
83062,reads,reeves
83063,read,rev
83064,eading,revving
83065,recede,receive
83066,recedes,receives
83067,receding,receiving
83068,red,rev
83069,reds,revs
83070,reed,reeve
83071,reeds,reeves
83072,reflected,reflective
83073,resisted,resistive
83074,respected,respective
83075,rested,restive
83076,restricted,restrictive
83077,ev,read
83078,ride,rive
83079,rides,rives
83080,riding,riving
83081,ridden,riven
83082,road,rove
83083,roads,roves
83084,selected,selective
83085,serve,surd
83086,serves,surds
83087,shade,shave
83088,shades,shaves
83089,shading,shaving
83090,shadings,shavings
83091,shelled,shelve
83092,sleighed,slave
83093,sported,sportive
83094,staid,stave
83095,starred,starve
83096,stowed,stove
83097,stride,strive
83098,stridden,striven
83099,strides,strives
83100,striding,striving
83101,strode,strove
83102,subjected,subjective
83103,suggested,suggestive
83104,turds,turves
83105,unselected,unselective
83106,dandle,vandal
83107,dandles,vandals
83108,voted,votive
83109,wade,waive
83110,wading,waiving
83111,wades,waives
83112,wade,wave
83113,wading,waving
83114,wades,waves
83115,wader,waiver
83116,waders,waivers
83117,wards,wharves
83118,weed,weave
83119,weeds,weaves
83120,weaving,weeding
83121,wides,wives
83122,woad,wove
83123,d,bath
83124,bard,bath
83125,bards,baths
83126,barred,bath
83127,bird,berth
83128,birds,berths
83129,bode,both
83130,body,bothy
83131,bread,breath
83132,breads,breaths
83133,clod,cloth
83134,clods,cloths
83135,dacha,thatcher
83136,dachas,thatchers
83137,ane,thane
83138,anes,thanes
83139,dank,thank
83140,daw,thaw
83141,daws,thaws
83142,dawn,thorn
83143,dawns,thorns
83144,dead,death
83145,deadly,deathly
83146,dearest,theorist
83147,dearie,theory
83148,dearies,theories
83149,deft,theft
83150,deign,thane
83151,deigns,thanes
83152,deism,theism
83153,deist,theist
83154,deists,theists
83155,ereham,theorem
83156,i,thigh
83157,ick,thick
83158,dicker,thicker
83159,die,thigh
83160,dies,thighs
83161,din,thin
83162,dinned,thinned
83163,dinning,thinning
83164,dins,thins
83165,dinner,thinner
83166,dirty,thirty
83167,dirties,thirties
83168,dole,thole
83169,doles,tholes
83170,door,thaw
83171,doors,thaws
83172,oug,thug
83173,drawl,thrall
83174,drawls,thralls
83175,dread,thread
83176,dreaded,threaded
83177,dreading,threading
83178,drew,threw
83179,drew,through
83180,drift,thrift
83181,drill,thrill
83182,drilled,thrilled
83183,drilling,thrilling
83184,drills,thrills
83185,drive,thrive
83186,drives,thrives
83187,driving,thriving
83188,drove,throve
83189,drone,throne
83190,drones,thrones
83191,drone,thrown
83192,drum,thrum
83193,drummed,thrummed
83194,drumming,thrumming
83195,drums,thrums
83196,dud,doth
83197,dud,thud
83198,duds,thuds
83199,dues,thews
83200,dug,thug
83201,dugs,thugs
83202,dumb,thumb
83203,dumbs,thumbs
83204,dumbing,thumbing
83205,dumbed,thumbed
83206,dump,thump
83207,dumped,thumped
83208,dumping,thumping
83209,dumps,thumps
83210,durable,thurible
83211,durables,thuribles
83212,durst,thirst
83213,endues,enthuse
83214,erred,earth
83215,fade,faith
83216,filled,filth
83217,ford,forth
83218,ford,fourth
83219,fords,fourths
83220,furred,firth
83221,gird,girth
83222,girds,girths
83223,gnawed,north
83224,had,hath
83225,hard,hearth
83226,heed,heath
83227,held,health
83228,kid,kith
83229,lard,lath
83230,load,loath
83231,mid,myth
83232,mod,moth
83233,mowed,mouth
83234,ode,oath
83235,order,author
83236,orders,authors
83237,overdrew,overthrew
83238,panda,panther
83239,pandas,panthers
83240,pander,panther
83241,panders,panthers
83242,raid,wraith
83243,raids,wraiths
83244,road,wroth
83245,rod,wrath
83246,rode,wroth
83247,rood,ruth
83248,rowed,wroth
83249,rude,ruth
83250,rued,ruth
83251,said,saith
83252,slewed,sleuth
83253,slowed,sloth
83254,strewed,strewth
83255,sward,swath
83256,teed,teeth
83257,tend,tenth
83258,tends,tenths
83259,thousand,thousandth
83260,trued,truth
83261,warmed,warmth
83262,weld,wealth
83263,welled,wealth
83264,whirred,worth
83265,word,worth
83266,wordless,worthless
83267,d,youth
83268,bards,baths
83269,bayed,bathe
83270,bladder,blather
83271,bladders,blathers
83272,booed,booth
83273,breed,breathe
83274,breeds,breathes
83275,breeding,breathing
83276,breeder,breather
83277,breeders,breathers
83278,cede,seethe
83279,cedes,seethes
83280,ceding,seething
83281,s,these
83282,dale,they
83283,an,than
83284,dare,their
83285,dares,theirs
83286,ave,they
83287,day,they
83288,den,then
83289,dense,thence
83290,dhow,thou
83291,i,thy
83292,die,thy
83293,dye,thy
83294,dine,thine
83295,dither,thither
83296,doe,though
83297,does,those
83298,dough,though
83299,doze,those
83300,header,heather
83301,headers,heathers
83302,lade,lathe
83303,laid,lathe
83304,larder,lather
83305,larders,lathers
83306,lied,lithe
83307,load,loathe
83308,loading,loathing
83309,loads,loathes
83310,odes,oaths
83311,udder,other
83312,udders,others
83313,ride,writhe
83314,rides,writhes
83315,riding,writhing
83316,seed,seethe
83317,seeds,seethes
83318,seeding,seething
83319,side,scythe
83320,sides,scythes
83321,siding,scything
83322,suede,swathe
83323,swayed,swathe
83324,teed,teethe
83325,tide,tithe
83326,tides,tithes
83327,tied,tithe
83328,wordy,worthy
83329,wordier,worthier
83330,wordiest,worthiest
83331,wordily,worthily
83332,aid,ace
83333,aide,ace
83334,added,acid
83335,ad,ass
83336,add,ass
83337,amid,amiss
83338,aphid,aphis
83339,averred,averse
83340,d,baas
83341,bad,bass
83342,bard,baas
83343,barred,baas
83344,bayed,base
83345,bayed,bass
83346,bled,bless
83347,bodied,bodice
83348,bodies,bosses
83349,body,bossy
83350,bound,bounce
83351,bounding,bouncing
83352,braid,brace
83353,braiding,bracing
83354,bud,bus
83355,budding,busing
83356,buddies,buses
83357,cadet,cassette
83358,cadets,cassettes
83359,candle,cancel
83360,candles,cancels
83361,candour,cancer
83362,cawed,coarse
83363,cawed,course
83364,cede,cease
83365,ceding,ceasing
83366,censored,census
83367,chord,coarse
83368,chord,course
83369,cod,cos
83370,commend,commence
83371,commending,commencing
83372,concord,concourse
83373,condign,consign
83374,condole,console
83375,condoled,consoled
83376,condoles,consoles
83377,condoling,consoling
83378,copied,coppice
83379,cord,coarse
83380,cord,course
83381,cording,coursing
83382,cordon,coarsen
83383,cordoned,coarsened
83384,cordoning,coarsening
83385,cordons,coarsens
83386,counted,countess
83387,creed,crease
83388,cud,cuss
83389,curd,curse
83390,dad,sad
83391,dago,sago
83392,dale,sail
83393,dales,sails
83394,dale,sale
83395,dales,sales
83396,dalesman,salesman
83397,dally,sally
83398,dallied,sallied
83399,dallies,sallies
83400,dallying,sallying
83401,dame,same
83402,dandy,sandy
83403,darned,dance
83404,dandle,sandal
83405,dandled,sandalled
83406,dandles,sandals
83407,ane,sane
83408,ane,seine
83409,anes,seines
83410,dank,sank
83411,dapper,sapper
83412,dappling,sapling
83413,dash,sash
83414,dashes,sashes
83415,date,sate
83416,dated,sated
83417,dates,sates
83418,dating,sating
83419,daughter,sorter
83420,daughters,sorters
83421,ave,save
83422,daw,saw
83423,daws,saws
83424,dawdle,dorsal
83425,dawn,sawn
83426,day,say
83427,dead,said
83428,deal,seal
83429,deals,seals
83430,dealing,sealing
83431,dealing,ceiling
83432,dealings,ceilings
83433,dealer,sealer
83434,dealers,sealers
83435,deanery,scenery
83436,dear,sear
83437,dears,sears
83438,debt,set
83439,debts,sets
83440,debtor,setter
83441,debtors,setters
83442,deck,sec
83443,decks,secs
83444,decked,sect
83445,decko,secco
83446,decreed,decrease
83447,dedicate,desiccate
83448,dedicated,desiccated
83449,dedicates,desiccates
83450,dedicating,desiccating
83451,deduce,seduce
83452,deduced,seduced
83453,deduces,seduces
83454,deducing,seducing
83455,deduction,seduction
83456,deductions,seductions
83457,deductive,seductive
83458,deed,cede
83459,deeds,cedes
83460,deed,seed
83461,deeds,seeds
83462,defence,defend
83463,deign,sane
83464,deign,seine
83465,deigned,seined
83466,deigning,seining
83467,deigns,seines
83468,delf,self
83469,delves,selves
83470,dell,cell
83471,dells,cells
83472,demented,cemented
83473,demon,seaman
83474,demon,seamen
83475,demon,semen
83476,denser,censer
83477,denser,censor
83478,dens,sends
83479,dent,cent
83480,dents,cents
83481,dent,scent
83482,dented,scented
83483,denting,scenting
83484,dents,scents
83485,ereham,serum
83486,derv,serve
83487,es,says
83488,evon,seven
83489,dew,sue
83490,dewed,deuce
83491,dhow,sow
83492,dhows,sows
83493,i,sigh
83494,dibble,sibyl
83495,dibbles,sibyls
83496,dibbling,sibling
83497,die,sigh
83498,died,sighed
83499,dies,sighs
83500,dying,sighing
83501,died,dice
83502,died,side
83503,dignify,signify
83504,dignified,signified
83505,dignifies,signifies
83506,dignifying,signifying
83507,dimmer,simmer
83508,dimmers,simmers
83509,dimple,simple
83510,dimples,simples
83511,din,sin
83512,dins,sins
83513,dinned,sinned
83514,dinning,sinning
83515,dine,sign
83516,dined,signed
83517,dines,signs
83518,dining,signing
83519,dingle,single
83520,dingles,singles
83521,dinned,since
83522,dip,sip
83523,dips,sips
83524,dipping,sipping
83525,dipped,sipped
83526,dire,sire
83527,dirge,serge
83528,dirges,surges
83529,discord,discourse
83530,diss,sis
83531,dissed,cyst
83532,ditty,city
83533,ditties,cities
83534,divide,device
83535,divvies,civies
83536,dixies,sixes
83537,do,sew
83538,do,so
83539,do,sou
83540,s,sous
83541,dock,sock
83542,docked,socked
83543,docking,socking
83544,docks,socks
83545,docker,soccer
83546,docket,socket
83547,dockets,sockets
83548,dodder,dosser
83549,dodders,dossers
83550,doe,sew
83551,does,sews
83552,doe,sow
83553,does,sows
83554,doffed,soft
83555,doggie,soggy
83556,dole,sole
83557,doles,soles
83558,doling,soling
83559,doled,soled
83560,dole,soul
83561,doles,souls
83562,doleful,soulful
83563,dolefully,soulfully
83564,doled,sold
83565,doll,sol
83566,donor,sonar
83567,door,saw
83568,doors,saws
83569,door,soar
83570,doors,soars
83571,dope,soap
83572,doped,soaped
83573,dopes,soaps
83574,doping,soaping
83575,dopey,soapy
83576,dose,sewed
83577,doss,sod
83578,dossing,sodding
83579,dost,sussed
83580,dot,sot
83581,dots,sots
83582,douse,souse
83583,doused,soused
83584,douses,souses
83585,dousing,sousing
83586,dower,sour
83587,dowered,soured
83588,dowering,souring
83589,dowers,sours
83590,downed,sound
83591,dread,dress
83592,dreading,dressing
83593,dub,sub
83594,dubbed,subbed
83595,dubbing,subbing
83596,dubs,subs
83597,dude,deuce
83598,duck,suck
83599,ducked,sucked
83600,ducking,sucking
83601,ducks,sucks
83602,duckling,suckling
83603,ducklings,sucklings
83604,dude,pseud
83605,dudes,pseuds
83606,duds,suds
83607,due,sue
83608,dues,sues
83609,duffer,suffer
83610,duffers,suffers
83611,dumb,some
83612,dumb,sum
83613,dumber,summer
83614,dump,sump
83615,dumps,sumps
83616,dun,son
83617,duns,sons
83618,dun,sun
83619,dunned,sunned
83620,dunning,sunning
83621,duns,suns
83622,dunned,dunce
83623,dunk,sunk
83624,utch,such
83625,dwell,swell
83626,dwelling,swelling
83627,dwellings,swellings
83628,dwells,swells
83629,dwindle,swindle
83630,dwindled,swindled
83631,dwindles,swindles
83632,dwindling,swindling
83633,dye,sigh
83634,dyes,sighs
83635,dyed,sighed
83636,dyeing,sighing
83637,dyers,sires
83638,eddy,esse
83639,embodies,embosses
83640,emend,immense
83641,endue,ensue
83642,endued,ensued
83643,endues,ensues
83644,enduing,ensuing
83645,endued,induce
83646,expand,expanse
83647,expend,expense
83648,fade,face
83649,fading,facing
83650,feared,fierce
83651,fend,fence
83652,fending,fencing
83653,fender,fencer
83654,fenders,fencers
83655,ford,force
83656,fording,forcing
83657,fordable,forcible
83658,gad,gas
83659,gadding,gassing
83660,gaud,gorse
83661,gibbered,gibbous
83662,gored,gorse
83663,grade,grace
83664,grading,gracing
83665,greed,grease
83666,greedy,greasy
83667,greedier,greasier
83668,greediest,greasiest
83669,greedily,greasily
83670,greediness,greasiness
83671,griddle,gristle
83672,haddock,hassock
83673,hawed,hoarse
83674,hawed,horse
83675,heard,hearse
83676,herd,hearse
83677,hid,hiss
83678,hoard,hoarse
83679,hoard,horse
83680,hoarder,hoarser
83681,horde,hoarse
83682,horde,horse
83683,hosted,hostess
83684,huddle,hustle
83685,huddled,hustled
83686,huddles,hustles
83687,huddling,hustling
83688,humoured,humus
83689,d,ice
83690,indict,incite
83691,indicted,incited
83692,indicts,incites
83693,indicting,inciting
83694,indictment,incitement
83695,indictments,incitements
83696,indolent,insolent
83697,indolence,insolence
83698,indolently,insolently
83699,intend,intense
83700,ude,juice
83701,udy,juicy
83702,kid,kiss
83703,kidding,kissing
83704,kiddies,kisses
83705,knead,niece
83706,kneed,niece
83707,lade,lace
83708,lading,lacing
83709,ladies,laces
83710,lady,lacy
83711,lad,lass
83712,laddie,lassie
83713,laddies,lasses
83714,larned,lance
83715,lead,lease
83716,leading,leasing
83717,lead,less
83718,leaden,lessen
83719,lied,lice
83720,loud,louse
83721,made,mace
83722,maid,mace
83723,mad,mass
83724,maiden,mason
83725,maidens,masons
83726,manned,manse
83727,ed,mess
83728,murder,mercer
83729,murders,mercers
83730,middle,missal
83731,middles,missals
83732,middy,missy
83733,middies,misses
83734,od,moss
83735,mood,moose
83736,mowed,mouse
83737,mud,muss
83738,mudding,mussing
83739,muddies,musses
83740,muddle,muscle
83741,muddled,muscled
83742,muddles,muscles
83743,muddling,muscling
83744,muddle,mussel
83745,muddles,mussels
83746,ed,ness
83747,need,niece
83748,noted,notice
83749,obeyed,abase
83750,offend,offence
83751,orchid,orchis
83752,paid,pace
83753,pallid,palace
83754,pampered,pampas
83755,pardon,parson
83756,pardons,parsons
83757,peed,peace
83758,pedant,peasant
83759,pedants,peasants
83760,pedal,pestle
83761,pedalled,pestled
83762,pedals,pestles
83763,pedalling,pestling
83764,peddle,pestle
83765,peddling,pestling
83766,peddles,pestles
83767,peered,pierce
83768,penned,pence
83769,peed,piece
83770,played,place
83771,pond,ponce
83772,pound,pounce
83773,pounding,pouncing
83774,pretend,pretence
83775,pride,price
83776,priding,pricing
83777,pud,puss
83778,purred,purse
83779,raid,race
83780,raiding,racing
83781,raider,racer
83782,raiders,racers
83783,random,ransom
83784,record,recourse
83785,renowned,renounce
83786,respond,response
83787,reverend,reverence
83788,ride,rice
83789,ruddle,rustle
83790,ruddled,rustled
83791,ruddles,rustles
83792,ruddling,rustling
83793,yde,rice
83794,sawed,sauce
83795,sawed,source
83796,scared,scarce
83797,seed,cease
83798,seeding,ceasing
83799,seedless,ceaseless
83800,send,sense
83801,sending,sensing
83802,sender,censer
83803,senders,censers
83804,sender,censor
83805,senders,censors
83806,sidle,sisal
83807,sinned,since
83808,slewed,sluice
83809,slide,slice
83810,soared,sauce
83811,soared,source
83812,solid,solace
83813,spade,space
83814,spading,spacing
83815,sparred,sparse
83816,spied,spice
83817,stand,stance
83818,suspend,suspense
83819,sword,sauce
83820,sword,source
83821,tailored,talus
83822,tend,tense
83823,tending,tensing
83824,tender,tenser
83825,tested,testis
83826,toddies,tosses
83827,trade,trace
83828,trading,tracing
83829,trader,tracer
83830,traders,tracers
83831,tread,tress
83832,treadle,trestle
83833,treadles,trestles
83834,treated,treatise
83835,tried,trice
83836,tripod,tripos
83837,d,use
83838,vied,vice
83839,void,voice
83840,voiding,voicing
83841,walled,waltz
83842,wend,whence
83843,whirred,worse
83844,wind,wince
83845,winding,wincing
83846,word,worse
83847,abound,abounds
83848,abscond,absconds
83849,ad,as
83850,add,as
83851,afraid,affrays
83852,aged,ages
83853,almond,almonds
83854,altered,altars
83855,amend,amends
83856,append,appends
83857,applaud,applause
83858,apprehend,apprehends
83859,armed,alms
83860,armoured,amahs
83861,ascend,ascends
83862,aside,assize
83863,astound,astounds
83864,attend,attends
83865,background,backgrounds
83866,bald,balls
83867,band,bans
83868,band,bands
83869,band,banns
83870,banded,bandies
83871,battleground,battlegrounds
83872,bawd,boars
83873,bawd,bores
83874,bayed,baize
83875,bayed,beys
83876,beard,beers
83877,beaux,bode
83878,befriend,befriends
83879,bend,bens
83880,bend,bends
83881,ernard,burners
83882,bid,biz
83883,bide,buys
83884,bind,binds
83885,bind,bines
83886,bird,burrs
83887,blade,blaze
83888,blend,blends
83889,blind,blinds
83890,blonde,blondes
83891,bloodhound,bloodhounds
83892,board,boars
83893,board,bores
83894,bold,boles
83895,bond,bonds
83896,bored,boars
83897,bored,bores
83898,bound,bounds
83899,boyfriend,boyfriends
83900,braid,braes
83901,braid,brays
83902,brand,brands
83903,brayed,braise
83904,breed,breeze
83905,breeding,breezing
83906,breeds,breezed
83907,brigand,brigands
83908,bud,buzz
83909,bustard,busters
83910,buzzard,buzzers
83911,candid,candies
83912,card,cars
83913,cawed,cause
83914,cede,seize
83915,ceding,seizing
83916,hard,chars
83917,chord,cause
83918,chord,caws
83919,command,commands
83920,commend,commends
83921,compound,compounds
83922,comprehend,comprehends
83923,condescend,condescends
83924,confound,confounds
83925,contend,contends
83926,cord,cause
83927,corded,causes
83928,cording,causing
83929,cord,caws
83930,corralled,chorales
83931,correspond,corresponds
83932,countermand,countermands
83933,coward,cowers
83934,cummerbund,cummerbunds
83935,dachshund,dachshunds
83936,damned,dams
83937,deafer,zephyr
83938,defend,defends
83939,demand,demands
83940,depend,depends
83941,descend,descends
83942,dewed,dues
83943,diamond,diamonds
83944,died,dyes
83945,dip,zip
83946,dipped,zipped
83947,dipping,zipping
83948,dips,zips
83949,dipper,zipper
83950,dippers,zippers
83951,disband,disbands
83952,distend,distends
83953,dither,zither
83954,dithers,zithers
83955,divide,devise
83956,dividing,devising
83957,dividend,dividends
83958,do,zoo
83959,s,zoos
83960,does,dud
83961,dogged,doggies
83962,doom,zoom
83963,dooming,zooming
83964,dooms,zoomed
83965,doted,dhotis
83966,dryad,driers
83967,dude,dews
83968,dude,dues
83969,dumbfound,dumbfounds
83970,dyed,dies
83971,emend,emends
83972,end,ends
83973,errand,errands
83974,expand,expands
83975,expend,expends
83976,expound,expounds
83977,extend,extends
83978,fade,phase
83979,fading,phasing
83980,fairground,fairgrounds
83981,fared,fairs
83982,fawned,fauns
83983,ed,fez
83984,fend,fends
83985,fend,fens
83986,feud,fuse
83987,feuding,fusing
83988,field,feels
83989,field,fields
83990,fiend,fiends
83991,find,finds
83992,find,fines
83993,firebrand,firebrnds
83994,flared,flairs
83995,flowed,floes
83996,ford,fours
83997,found,founds
83998,friend,friends
83999,frigid,fridges
84000,frond,fronds
84001,fund,funds
84002,garland,garlands
84003,gaud,gauze
84004,gaudy,gauzy
84005,gaudier,gauzier
84006,gaudiest,gauziest
84007,gerund,gerunds
84008,gild,gills
84009,girlfriend,girlfriends
84010,glade,glaze
84011,gland,glands
84012,goad,goes
84013,godsend,godsends
84014,gold,goals
84015,grade,grays
84016,grade,graze
84017,graded,grazes
84018,grading,grazing
84019,grndstand,grandstands
84020,greyed,graze
84021,greyhound,greyhounds
84022,grieved,greaves
84023,grind,grinds
84024,ground,grounds
84025,guild,gills
84026,guide,guise
84027,guide,guys
84028,guyed,guise
84029,hand,hands
84030,hared,hairs
84031,hawed,whores
84032,heard,hers
84033,held,hells
84034,hewed,hues
84035,hid,his
84036,hide,hies
84037,hide,highs
84038,hind,hinds
84039,hoarder,hawser
84040,hoarders,hawsers
84041,hoard,haws
84042,hoard,whores
84043,hold,holes
84044,hold,wholes
84045,holed,wholes
84046,horde,haws
84047,horde,whores
84048,hound,hounds
84049,hued,hews
84050,husband,husbands
84051,id,is
84052,impend,impends
84053,impound,impounds
84054,inside,incise
84055,insider,incisor
84056,insiders,incisors
84057,intend,intends
84058,ironed,ions
84059,island,islands
84060,kidded,kiddies
84061,knead,knees
84062,knighted,nighties
84063,ladder,lazar
84064,ladders,lazars
84065,lade,lays
84066,lade,laze
84067,lading,lazing
84068,lady,lazy
84069,ladies,lazes
84070,laid,lays
84071,laid,laze
84072,laird,lairs
84073,land,lands
84074,laud,laws
84075,lead,leas
84076,lead,lees
84077,lend,lends
84078,lend,lens
84079,leopard,lepers
84080,levied,levees
84081,load,lows
84082,lode,lows
84083,lord,laws
84084,lucid,looses
84085,made,maize
84086,made,maze
84087,maid,maize
84088,maid,maze
84089,mainland,mainlands
84090,mastermind,masterminds
84091,aud,maws
84092,meddled,medals
84093,mend,mends
84094,mend,mens
84095,midden,mizen
84096,middens,mizens
84097,middle,mizzle
84098,middles,mizzled
84099,middling,mizzling
84100,mild,miles
84101,millpond,millponds
84102,mind,minds
84103,mind,mines
84104,misapprehend,misapprehends
84105,misunderstand,misunderstands
84106,mode,mows
84107,mood,moos
84108,mourned,morns
84109,mould,moles
84110,mound,mounds
84111,muddy,muzzy
84112,muddier,muzzier
84113,muddiest,muzziest
84114,mustard,musters
84115,node,knows
84116,node,noes
84117,node,nose
84118,nude,news
84119,niggard,niggers
84120,noddle,nozzle
84121,noddles,nozzles
84122,odd,oz
84123,ode,owes
84124,offend,offends
84125,oodles,ouzels
84126,ordinand,ordinands
84127,overspend,overspends
84128,padded,paddies
84129,paled,pails
84130,pandered,pandas
84131,panted,panties
84132,parted,parties
84133,pawed,pause
84134,pedant,peasant
84135,pedants,peasants
84136,pedantry,peasantry
84137,pedantries,peasantries
84138,peered,piers
84139,perdition,position
84140,pervade,purveys
84141,planed,plains
84142,playground,playgrounds
84143,plead,pleas
84144,plead,please
84145,pleading,pleasing
84146,pleadingly,pleasingly
84147,plumbed,plums
84148,poled,polls
84149,polled,poles
84150,pond,ponds
84151,portend,portends
84152,potted,potties
84153,pound,pounds
84154,prayed,praise
84155,prayed,preys
84156,pretend,pretends
84157,preyed,praise
84158,preyed,prays
84159,pride,prise
84160,priding,prising
84161,pride,pries
84162,propound,propounds
84163,proud,prows
84164,peed,peas
84165,pseud,sues
84166,puddle,puzzle
84167,puddles,puzzled
84168,puddling,puzzling
84169,puddler,puzzler
84170,puddlers,puzzlers
84171,queued,cues
84172,quid,quiz
84173,raid,raise
84174,raided,raises
84175,raiding,raising
84176,raider,raiser
84177,raiders,raisers
84178,read,res
84179,readiness,resinous
84180,rebound,rebounds
84181,recommend,recommends
84182,redound,redounds
84183,redound,resound
84184,redounded,resounded
84185,redounding,resounding
84186,redounds,resounds
84187,refund,refunds
84188,remand,remands
84189,remind,reminds
84190,rend,rends
84191,rend,wrens
84192,reprimand,reprimands
84193,rescind,rescinds
84194,resound,resounds
84195,respond,responds
84196,reverend,reverends
84197,riband,ribands
84198,riband,ribbons
84199,ride,rise
84200,ridden,risen
84201,riding,rising
84202,ridings,risings
84203,rider,riser
84204,riders,risers
84205,rigid,ridges
84206,rind,rinds
84207,rolled,r
84208,road,rose
84209,road,rows
84210,rood,roos
84211,rood,rues
84212,rood,ruse
84213,round,rounds
84214,rowdies,rouses
84215,rowed,rose
84216,rowed,rouse
84217,rude,roos
84218,rude,rues
84219,rude,ruse
84220,rued,roos
84221,rued,ruse
84222,sand,sans
84223,sand,sands
84224,saraband,sarabands
84225,savoured,savers
84226,sawed,sores
84227,screed,screes
84228,sculled,skulls
84229,seamed,seems
84230,second,seconds
84231,seed,seize
84232,seeding,seizing
84233,seemed,seams
84234,send,sends
84235,shade,chaise
84236,shard,shahs
84237,shooed,shoes
84238,shrewd,shrews
84239,side,sighs
84240,side,size
84241,siding,sizing
84242,sighed,size
84243,sleighed,slays
84244,slowed,sloes
84245,snood,snooze
84246,snoods,snoozed
84247,soared,saws
84248,soared,sores
84249,sold,soles
84250,sold,souls
84251,sound,sounds
84252,spade,spays
84253,sparred,spas
84254,spend,spends
84255,staid,stays
84256,stand,stands
84257,stander,stanza
84258,standers,stanzas
84259,stared,stairs
84260,stipend,stipends
84261,strand,strands
84262,studded,studies
84263,sunned,sons
84264,superintend,superintends
84265,surd,sirs
84266,surround,surrounds
84267,suspend,suspends
84268,sword,saws
84269,sword,sores
84270,synod,sinners
84271,tailed,tales
84272,tankard,tankers
84273,taxied,taxes
84274,teed,teas
84275,teed,tease
84276,tend,tens
84277,tend,tends
84278,thousand,thousands
84279,tide,ties
84280,tided,tidies
84281,toad,toes
84282,toad,tows
84283,told,tolls
84284,towed,toes
84285,trade,trays
84286,transcend,transcends
84287,treated,treaties
84288,trend,trends
84289,turned,terns
84290,unbend,unbends
84291,unbind,unbinds
84292,underspend,underspends
84293,understand,understands
84294,unwind,unwinds
84295,vagabond,vagabonds
84296,valid,valleys
84297,veiled,vales
84298,veined,vanes
84299,vend,vends
84300,wailed,whales
84301,wad,was
84302,wadded,wadis
84303,wade,ways
84304,wade,weighs
84305,wand,wands
84306,waned,wains
84307,ward,wars
84308,weald,weals
84309,weald,wheels
84310,weald,wields
84311,weasel,wheedle
84312,weasels,wheedled
84313,weed,wheeze
84314,weeded,wheezes
84315,weeding,wheezing
84316,weedy,wheezy
84317,weedier,wheezier
84318,weediest,wheeziest
84319,weekend,weekends
84320,wield,weals
84321,wield,wheels
84322,wield,wields
84323,weighed,ways
84324,weird,weirs
84325,weld,wells
84326,wend,wens
84327,wend,wends
84328,d,whose
84329,wide,wise
84330,widely,wisely
84331,wider,wiser
84332,widest,wisest
84333,wind,winds
84334,withstand,withstands
84335,woad,woes
84336,wound,wounds
84337,d,use
84338,wretched,retches
84339,wretched,wretches
84340,abandoned,abandons
84341,abhorred,abhors
84342,abjured,abjures
84343,absolved,absolves
84344,absorbed,absorbs
84345,abstained,abstains
84346,acclaimed,acclaims
84347,accompanied,accompanies
84348,accrued,accrues
84349,accustomed,accustoms
84350,achieved,achieves
84351,acidified,acidifies
84352,acquired,acquires
84353,addled,addles
84354,adhered,adheres
84355,adjoined,adjoins
84356,adjourned,adjourns
84357,adjured,adjures
84358,libbed,ad
84359,administered,administers
84360,admired,admires
84361,adored,adores
84362,adorned,adorns
84363,adventured,adventures
84364,affirmed,affirms
84365,aggrieved,aggrieves
84366,agreed,agrees
84367,ailed,ails
84368,aimed,aims
84369,aired,airs
84370,alarmed,alarms
84371,aligned,aligns
84372,allayed,allays
84373,allied,allies
